Project_Group_id,Project_Name,Group_Name,Name_Value_Pair_Table_Name,Flat_Table_Name,Data_Source_View,With_File_Date,Table_Schema
73,BIFC_TMCM,TMCM_2.0_Product,,TMCM_Product,,True,TMCM
70,BIFC_TMCM,TMCM_2.0_Critical_Event,,TMCM_Critical_Event,,True,TMCM
59,BIFC_DS,DS_1.0_Feedback_Main,,DS_Feedback_Main,,True,DS
69,BIFC_TMCM,TMCM_2.0_Browser,,TMCM_Browser,,True,TMCM
71,BIFC_TMCM,TMCM_2.0_Custom_Report,,TMCM_Custom_Report,,True,TMCM
72,BIFC_TMCM,TMCM_2.0_Log,,TMCM_Log,,True,TMCM
68,BIFC_TMCM,TMCM_2.0_AdHoc_Query,,TMCM_AdHoc_Query,,True,TMCM
67,BIFC_TMCM,TMCM_2.0_Feedback_Main,,TMCM_Feedback_Main,,True,TMCM
82,BIFC_TMCM,TMCM_1.0_Product_AC,,TMCM_Product_AC,,True,TMCM
79,BIFC_TMCM,TMCM_2.0_Product_AC,,TMCM_Product_AC,,True,TMCM
75,BIFC_TMCM,TMCM_2.0_Product_Endpoint,,TMCM_Product_Endpoint,,True,TMCM
78,BIFC_TMCM,TMCM_2.0_Widget,,TMCM_Widget,,True,TMCM
80,BIFC_TMCM,TMCM_1.0_Product,,TMCM_Product,,True,TMCM
81,BIFC_TMCM,TMCM_1.0_Product_Endpoint,,TMCM_Product_Endpoint,,True,TMCM
77,BIFC_TMCM,TMCM_2.0_User_Account,,TMCM_User_Account,[BIFC_ETL].[vw_TMCM_User_Account],True,TMCM
76,BIFC_TMCM,TMCM_2.0_SO_Weekly_Count,,TMCM_SO_Weekly_Count,,True,TMCM
90,BIFC_SPNT,SPNT_1.0_Feedback_Main,,SPNT_Feedback_Main,,True,SPNT
87,BIFC_DS,DS_1.0_Endpoint_Module_Usage,,DS_Endpoint_Module_Usage,,True,DS
83,BIFC_TMCM,TMCM_2.0_Directory,,TMCM_Directory,[BIFC_ETL].[vw_TMCM_Directory],True,TMCM
86,BIFC_DS,DS_1.0_Endpoint_Client_OS,,DS_Endpoint_Client_OS,,True,DS
88,BIFC_DS,DS_1.0_Endpoint_Seat_Count_Connector,,DS_Endpoint_Seat_Count_Connector,,True,DS
89,BIFC_DS,DS_1.0_Server_Plugin,,DS_Server_Plugin,,True,DS
85,BIFC_DS,DS_1.0_Endpoint_Activated_Agent_Version,,DS_Endpoint_Activated_Agent_Version,,True,DS
84,BIFC_DS,DS_1.0_AC,,DS_AC,,True,DS
98,BIFC_IMSecurity,IMSecurity_1.0_Feedback_Main,,IMSecurity_Feedback_Main,,True,IMSecurity
95,BIFC_DDAn,DDAn_1.0_Product_Weight,,DDAn_Product_Weight,,True,DDAn
91,BIFC_DDAn,DDAn_1.0_Alert_Rule,,DDAn_Alert_Rule,,True,DDAn
94,BIFC_DDAn,DDAn_1.0_Primary_Sandbox_Selected_File_Type,,DDAn_Primary_Sandbox_Selected_File_Type,,True,DDAn
96,BIFC_DDAn,DDAn_1.0_Report_Schedule,,DDAn_Report_Schedule,,True,DDAn
97,BIFC_DDAn,DDAn_1.0_Secondary_Sandbox,,DDAn_Secondary_Sandbox,,True,DDAn
93,BIFC_DDAn,DDAn_1.0_Primary_Sandbox,,DDAn_Primary_Sandbox,,True,DDAn
92,BIFC_DDAn,DDAn_1.0_Feedback_Main,,DDAn_Feedback_Main,,True,DDAn
106,BIFC_NVWE,NVWE_1.0_Policy,,NVWE_Policy,[BIFC_ETL].[vw_NVWE_Policy],True,NVWE
103,BIFC_IWSS,IWSS_1.0_Feedback_Main,,IWSS_Feedback_Main,,True,IWSS
99,BIFC_IMSS,IMSS_1.0_AC,,IMSS_AC,,True,IMSS
102,BIFC_IMSVA,IMSVA_1.0_Feedback_Main,,IMSVA_Feedback_Main,,True,IMSVA
104,BIFC_IWSVA,IWSVA_1.0_Feedback_Main,,IWSVA_Feedback_Main,,True,IWSVA
105,BIFC_NVWE,NVWE_1.0_Feedback_Main,,NVWE_Feedback_Main,,True,NVWE
101,BIFC_IMSVA,IMSVA_1.0_AC,,IMSVA_AC,,True,IMSVA
100,BIFC_IMSS,IMSS_1.0_Feedback_Main,,IMSS_Feedback_Main,,True,IMSS
124,BIFC_TMSM,TMSM_1.0_Client_Status,,TMSM_Client_Status,,True,TMSM
112,BIFC_SPLX,SPLX_1.0_Feedback_Main,,SPLX_Feedback_Main,,True,SPLX
108,BIFC_SMEX,SMEX_1.0_Feedback_Main,,SMEX_Feedback_Main,,True,SMEX
111,BIFC_SPEMC,SPEMC_1.0_Feedback_Main,,SPEMC_Feedback_Main,,True,SPEMC
113,BIFC_SPNAF,SPNAF_1.0_Feedback_Main,,SPNAF_Feedback_Main,,True,SPNAF
123,BIFC_TMSM,TMSM_1.0_Client_OS,,TMSM_Client_OS,,True,TMSM
110,BIFC_SMMS,SMMS_1.0_Feedback_Main,,SMMS_Feedback_Main,,True,SMMS
109,BIFC_SMLD,SMLD_1.0_Feedback_Main,,SMLD_Feedback_Main,,True,SMLD
132,BIFC_VP,VP_1.0_Server_Plugin,,VP_Server_Plugin,,True,VP
129,BIFC_VP,VP_1.0_Endpoint_Module_Usage,,VP_Endpoint_Module_Usage,,True,VP
125,BIFC_TMSM,TMSM_1.0_Feedback_Main,,TMSM_Feedback_Main,,True,TMSM
128,BIFC_VP,VP_1.0_Endpoint_Client_OS,,VP_Endpoint_Client_OS,,True,VP
130,BIFC_VP,VP_1.0_Endpoint_Seat_Count_Connector,,VP_Endpoint_Seat_Count_Connector,,True,VP
131,BIFC_VP,VP_1.0_Feedback_Main,,VP_Feedback_Main,,True,VP
127,BIFC_VP,VP_1.0_Endpoint_Activated_Agent_Version,,VP_Endpoint_Activated_Agent_Version,,True,VP
126,BIFC_VP,VP_1.0_AC,,VP_AC,,True,VP
