project_group_id,xpath_id,column_name,data_type,data_length,sort,boolean_string,category
436,3967,Category_ID,varchar,44,1,,
436,3970,Rule_ID,varchar,77,3,,
439,3976,Agent_Count,int,,2,,
138,4001,Product_Service_Pack,int,,133,,
138,3935,iAC_OS_Build,int,,118,,
138,3933,iAC_OS_Arch,int,,116,,
138,3998,S_NAT_Enabled,varchar,1,130,True,
425,3932,AC,varchar,65,1,,
437,3972,API_Name,varchar,48,2,,
138,4002,S_Sample_Submission_Count_In_BIF_Period,int,,134,,
432,3953,Platform_Type,varchar,13,3,,
138,4069,iAC_Assign_Rule_Enabled,varchar,1,138,True,
439,3977,Count,int,,3,,
438,3974,Criteria_Used,int,,2,,
439,3978,Criteria_Used,int,,4,,
426,4006,Count,int,,1,,
441,3988,Is_Scheduled_Task,varchar,1,2,True,
138,3934,iAC_OS_Branch,varchar,20,117,,
138,4000,Product_Service_Pack_Patch,varchar,10,132,,
138,4005,S_Use_CM_Proxy,varchar,1,137,True,
440,3983,Count,int,,1,,
138,3924,iAC_Agent_Enabled_Count,int,,108,,
138,3930,iAC_Assign_Rule_With_AD_Enabled,varchar,1,114,True,
430,3944,Enabled_Count,int,,2,,
138,3937,iAC_OS_Service_Pack,varchar,10,120,,
138,3939,iAC_OS_Version_Number,varchar,20,122,,
438,3973,Count,int,,1,,
435,3964,Platform_Type,varchar,13,2,,
138,4004,S_Update_Source_Type,int,,136,,
427,4008,Base_Action,int,,1,,
442,4078,AC,varchar,65,1,,
434,3958,Count,int,,1,,
138,3997,TMCM_Proxy_Sock,int,,129,,
430,3943,Disabled_Count,int,,1,,
138,4003,Product_SQL_Server_Verion,varchar,116,135,,
435,3962,Count,int,,1,,
138,4077,iVP_Manual_Enable_IPS_Rule,varchar,1,143,True,
138,3992,iES_Product_Build,int,,126,,
163,3995,Agent_SSL_Enabled,varchar,1,9,True,Server_Agent_Global_Setting
435,3965,Upload_Frequency,int,,3,,
434,3961,Platform_Type,varchar,13,3,,
138,3940,iATAS_Agent_Enabled_Count,int,,123,,
138,3931,iAC_Config_Rule_Enabled,varchar,1,115,True,
163,3996,Local_Connected_Enabled,varchar,1,10,True,Server_Agent_Global_Setting
431,3946,Count,int,,1,,
431,3948,Platform_Type,varchar,13,2,,
441,3986,Count,int,,1,,
432,3950,Count,int,,1,,
441,3989,Scan_Type,varchar,28,3,,
138,4072,iAC_Config_Rule_Enabled,varchar,1,141,True,
430,3945,Platform_Type,varchar,13,3,,
138,3929,iAC_Assign_Rule_Enabled,varchar,1,113,True,
138,3938,iAC_OS_Version,varchar,58,121,,
138,3993,iES_Product_Version,varchar,20,127,,
138,4076,iVP_Endpoint_IPS_Enabled_Client_Count,int,,142,,
428,4073,Selector,varchar,65,1,,
443,4080,Rule_ID,int,,2,,
436,3968,Count,int,,2,,
138,3994,iVP_Agent_Enabled_Count,int,,128,,
433,3954,Count,int,,1,,
138,3991,iES_Maximum_Metadata_Storage,int,,125,,
138,3928,iAC_Product_Version,varchar,20,112,,
138,3925,iAC_Base_Action,int,,109,,
429,3966,AC,varchar,65,1,,
440,3985,Source_Type,varchar,34,2,,
138,3936,iAC_OS_Platform,varchar,13,119,,
