xpath_id,source,xml_version,level,xpath,raw_group_root,group_root,master_detail,default_column_name,default_data_type,default_data_length,sample_value,group_level
3,TMEAC,1.0,3,/pr/product/AC,/pr/product,/pr,M,product_AC,varchar,84,EI-27JK-N7SSH-3RW2D-MZ9VL-FQG35-ZNFNF,2
2496,DDEI,1.0,5,/Data/Configuration/ScanSetting/TLSH/Enable,/Data/Configuration/ScanSetting/TLSH,/Data/Configuration/ScanSetting/TLSH,M,TLSH_Enable,varchar,10,True,4
4419,DDI,1.0,6,/data/other/cav_ddna_meta/ftp/trans_cnt/h15,/data/other/cav_ddna_meta/ftp/trans_cnt,/data/other/cav_ddna_meta/ftp/trans_cnt,M,ftp_trans_cnt_h15,int,,325417,5
6,TMEAC,1.0,5,/pr/product/configuration/property/@name,/pr/product/configuration/property,/pr/product/configuration/property,D,property_name,varchar,80,TMCSS.interval,4
2507,DDEI,1.0,4,/Data/Configuration/TimeOfClick/Enable,/Data/Configuration/TimeOfClick,/Data/Configuration/TimeOfClick,M,TimeOfClick_Enable,varchar,10,False,3
4260,DDD,1.0,5,/Product/Other/Email_Messages/Message/@Total_Count,/Product/Other/Email_Messages/Message,/Product/Other/Email_Messages/Message,M,Message_Total_Count,int,,107700,4
1,TMEAC,1.0,2,/pr/@last-updated,/pr,/pr,M,pr_last-updated,datetime,,2015-01-21T14:14:53.506-0800,1
2542,OSCE,2.0,7,/Data/Products/Product/EndPoint/DLP_CFG/Item/@server_off,/Data/Products/Product/EndPoint/DLP_CFG/Item,/Data/Products/Product/EndPoint/DLP_CFG,D,DLP_CFG_Item_server_off,int,,2,6
7,TMEAC,1.0,3,/pr/product/GUID,/pr/product,/pr,M,product_GUID,varchar,81,7f12be0b-3f02-4f9b-870c-7c7b19734186,2
2492,DDEI,1.0,4,/Data/Configuration/PolicyObject/RecipientNotificationCount,/Data/Configuration/PolicyObject,/Data/Configuration/PolicyObject,M,PolicyObject_RecipientNotificationCount,int,,3,3
4389,DDI,1.0,6,/data/other/cav_ddna_meta/ftp/flow_cnt/h09,/data/other/cav_ddna_meta/ftp/flow_cnt,/data/other/cav_ddna_meta/ftp/flow_cnt,M,ftp_flow_cnt_h09,int,,10463,5
8,TMEAC,1.0,3,/pr/product/language,/pr/product,/pr,M,product_language,varchar,35,EN,2
2501,DDEI,1.0,5,/Data/Configuration/SenderFiltering/EmailReputationServices/Enable,/Data/Configuration/SenderFiltering/EmailReputationServices,/Data/Configuration/SenderFiltering/EmailReputationServices,M,EmailReputationServices_Enable,varchar,10,False,4
4446,DDI,1.0,6,/data/other/cav_ddna_meta/http/flow_cnt/h18,/data/other/cav_ddna_meta/http/flow_cnt,/data/other/cav_ddna_meta/http/flow_cnt,M,http_flow_cnt_h18,int,,1737428,5
2,TMEAC,1.0,2,/pr/@version,/pr,/pr,M,pr_version,numeric,"2,1",1.0,1
4,TMEAC,1.0,3,/pr/product/build,/pr/product,/pr,M,product_build,varchar,95,build-2001 (Administrator (DEJK-2K864-01)),2
